Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1875.4860427560236,OUT049
FDW14,1591.7612740786328,OUT017
NCN55,1822.6726586170043,OUT010
FDQ58,2546.362959157394,OUT017
FDY38,5087.605400109229,OUT027
FDH56,1942.6371302122502,OUT046
FDL48,680.8000272442429,OUT018
FDC48,2806.042744135889,OUT027
FDN33,1541.2477558067721,OUT045
FDA36,3051.6757355410955,OUT017
FDT44,2004.9816551032459,OUT017
FDQ56,1358.153340629099,OUT045
NCC54,1819.7081624356488,OUT019
FDU11,2076.7501933506514,OUT049
DRL59,963.73658004298,OUT013
FDM24,2541.571606499628,OUT049
FDI57,3047.5751030919687,OUT045
DRC12,2726.5903317931266,OUT018
NCM42,3196.3220820943397,OUT027
FDA46,1129.0865932092925,OUT010
FDA31,2782.853101628461,OUT013
NCJ31,3802.6708588840006,OUT035
FDG52,863.6967323629378,OUT046
NCL19,383.6749739722957,OUT019
FDS10,2986.4040703131795,OUT035
FDX22,1453.2700642602745,OUT010
NCF19,998.5313152811398,OUT035
NCE06,2519.8296088661205,OUT046
DRC27,3768.6660667896867,OUT046
FDE21,2044.975056228151,OUT035
NCR42,-1251.134114547142,OUT019
FDX51,2840.7076836527967,OUT018
NCR06,510.7134768810506,OUT018
FDU31,4872.661618212023,OUT027
FDU59,2684.937811854625,OUT017
FDR03,4667.855182836754,OUT027
FDS49,2769.5521447021097,OUT027
FDD48,-11.742853337761176,OUT010
NCF18,3083.509221364912,OUT017
NCD43,3104.4140854002517,OUT027
NCD54,2007.827496987775,OUT018
FDY19,23.56811324654666,OUT010
NCY54,2783.2415589678117,OUT017
NCL19,2023.521417526348,OUT018
FDP23,1509.3653428274192,OUT010
FDC26,1848.579492075244,OUT013
FDR14,-931.0749455928526,OUT010
NCS41,2986.6196676007467,OUT035
FDF41,3971.336466450322,OUT035
FDU34,2004.5683173135994,OUT046
DRH11,984.1695289641892,OUT046
FDM03,1734.303406405877,OUT013
FDS31,2964.8933269092495,OUT017
FDJ20,2116.7529678965666,OUT017
FDV44,4427.784808962079,OUT027
FDG02,3080.3282714018815,OUT049
FDA09,2877.9901004558046,OUT013
