Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1646.7750856159876,OUT049
FDW14,1367.2400192983134,OUT017
NCN55,571.1900702990312,OUT010
FDQ58,2461.3658667912314,OUT017
FDY38,5836.385282250624,OUT027
FDH56,1941.147296443203,OUT046
FDL48,767.8728090916245,OUT018
FDC48,2149.3520878379204,OUT027
FDN33,1516.2067907954322,OUT045
FDA36,3106.030373238797,OUT017
FDT44,1936.0932996510853,OUT017
FDQ56,1363.197819727743,OUT045
NCC54,571.676793313431,OUT019
FDU11,2023.5049350125391,OUT049
DRL59,860.4039566726087,OUT013
FDM24,2449.5021331770245,OUT049
FDI57,3078.1841864177595,OUT045
DRC12,2945.8619428020565,OUT018
NCM42,2921.997309887503,OUT027
FDA46,510.2523868070941,OUT010
FDA31,2842.0120130744444,OUT013
NCJ31,3874.781142619204,OUT035
FDG52,783.0249744842423,OUT046
NCL19,289.55134693846776,OUT019
FDS10,2989.2326733174555,OUT035
FDX22,563.7769162615832,OUT010
NCF19,759.6731699695337,OUT035
NCE06,2543.8852567345925,OUT046
DRC27,3889.855741458671,OUT046
FDE21,1952.1466197939374,OUT035
NCR42,131.6580395625686,OUT019
FDX51,2978.4142988674007,OUT018
NCR06,619.9942630549497,OUT018
FDU31,5837.9395369645335,OUT027
FDU59,2546.230646207127,OUT017
FDR03,5838.332431254268,OUT027
FDS49,2041.1838693523107,OUT027
FDD48,268.20748141988264,OUT010
NCF18,3034.703454818388,OUT017
NCD43,2860.7442921537167,OUT027
NCD54,2120.622716486741,OUT018
FDY19,269.1118320500239,OUT010
NCY54,2857.0446201570553,OUT017
NCL19,2434.6227918387317,OUT018
FDP23,567.5358192856067,OUT010
FDC26,1734.1276471288736,OUT013
FDR14,131.6580395625686,OUT010
NCS41,3119.368729718119,OUT035
FDF41,3879.2489918609745,OUT035
FDU34,2059.079868638583,OUT046
DRH11,959.6997938643905,OUT046
FDM03,1648.5667279307245,OUT013
FDS31,3060.4988198581723,OUT017
FDJ20,2004.9555834938503,OUT017
FDV44,5210.758170341988,OUT027
FDG02,3113.7373058745306,OUT049
FDA09,2995.478625178841,OUT013
FDT04,708.1001063461732,OUT013
FDL58,568.7807645726172,OUT019
FDE52,1382.6167940101075,OUT045
FDW12,2467.9201424620474,OUT035
FDL51,3655.6722495939466,OUT017
NCY42,3039.294780692846,OUT027
FDR07,1541.0363224626021,OUT017
FDN40,2459.1289174125345,OUT045
FDB35,2663.6002254392265,OUT027
FDA22,2539.4908337295365,OUT017
NCL06,4112.019114943219,OUT046
FDI35,3062.7987180863383,OUT013
NCW42,3760.6667427566367,OUT045
NCX06,2994.724512374474,OUT049
FDC37,2896.7108443479046,OUT027
FDZ14,1951.0313237957503,OUT018
DRG49,3863.5620052152212,OUT049
NCG06,4080.4235642127314,OUT045
DRC36,2872.509416912152,OUT045
FDV21,281.62293535284493,OUT019
FDB53,2500.6351027372616,OUT046
DRP47,569.2300158294073,OUT019
FDA14,2459.4084708910796,OUT013
DRC24,2524.5868683300937,OUT035
FDW21,1614.8382434643513,OUT018
NCH29,1545.2016170588352,OUT046
FDU58,3093.2611930663247,OUT013
FDY27,2898.831468417574,OUT017
FDV56,1661.3720128875475,OUT035
FDT59,3847.9918116212198,OUT046
FDB23,3781.8848268047946,OUT046
FDR49,758.111318344822,OUT045
FDB03,572.2873476084558,OUT010
FDN39,2618.1335254013843,OUT045
FDX02,5838.0149955575525,OUT027
FDQ16,2895.077632310568,OUT027
FDU35,1554.5598968545987,OUT018
NCT29,2026.5801532464466,OUT013
FDZ27,783.2937876075481,OUT046
FDN57,2040.4749051972467,OUT017
FDA03,2424.931327702244,OUT018
FDZ36,3128.3697990357364,OUT045
NCU05,1408.8425418691395,OUT013
FDT39,2390.7995004793415,OUT018
FDK60,1540.6293086386027,OUT017
FDZ25,2807.831597813284,OUT017
FDG12,2084.774212512662,OUT046
DRB01,502.9951747103048,OUT019
NCC43,5838.0149955575525,OUT027
FDX13,566.0806674497923,OUT019
FDM22,865.2960269435014,OUT049
FDJ03,1098.2737608628804,OUT027
